"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Keyword Type","Status","Search Engine Bid","Clicks","Click Charges","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans.","Amount","Total Cost","Total Volume of Bookings"
"K2615","Yahoo - US","43000000039657988","fly to florence","Advanced","Western Europe Destinations","Florence","uncategorized","Unassigned","Unassigned","Live",6.25,1,2.3125,2.3125,11,9.09090909090909,1.27272727272727,900,0.256944444444444,8777.95,2.3125,9
"K2615","Yahoo - US","43000000039651113","low international airfare","Advanced","Geo Targeted DC","Low International DC","uncategorized","Unassigned","Unassigned","Paused",6.25,1,0.625,0.625,6,16.6666666666667,1,100,0.625,1574.2,0.625,1
"K2003","MSN - Global","43000000019452431","air discount france ticket","Broad","Air France Brand & French Destinations","France","uncategorized","Position 2-5 Bid Strategy","Unassigned","Deactivated",0,1,0.3875,0.3875,9,11.1111111111111,1.11111111111111,100,0.3875,390.15,0.3875,1
"K1175","Google - Global","43000000005663331","[airfrance]","Exact","Air France Global Campaign","Air France","airfrance","Position 1- 3","Unassigned","Unavailable",7.5,59,2.3124998375,0.0391949125,401,14.713216957606,2,3.38983050847458,1.15624991875,1665.15,2.3124998375,2
"K1123","Overture - Global","43000000005421354","air france online booking","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.25,8,2.2,0.275,318,2.51572327044025,2.97578616352201,12.5,2.2,935,2.2,1
"K1123","Overture - Global","43000000005421146","airfrance,com","Standard","Unassigned","Unassigned","airfrancewebsite","Position 1-2 Target","Unassigned","Paused",0.125,42,5.25,0.125,722,5.81717451523546,1.12908587257618,4.76190476190476,2.625,1817.3,5.25,2
"K435","Google - US","43000000014110441","paris cheap airline","Broad","Geo Targeted San Francisco","San Francisco to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Paused",6.25,3,5.2125,1.7375,13,23.0769230769231,1,33.3333333333333,5.2125,1685.55,5.2125,1
"K1122","Overture - US","43000000014278681","airfrance.us","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unassigned","Paused",0.325,47,11.799999775,0.251063825,547,8.59232175502742,1.1819012797075,4.25531914893617,5.8999998875,3796.1,11.799999775,2
"K1123","Overture - Global","43000000005421374","air travel to paris","Standard","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Unavailable",7.5,13,5.2124999875,0.4009615375,448,2.90178571428571,1.85647321428571,7.69230769230769,5.2124999875,1513,5.2124999875,1
"K1175","Google - Global","43000000019449172","air france site","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Unassigned","Unassigned","Unavailable",5,19,8.237499875,0.433552625,129,14.7286821705426,1.03023255813953,5.26315789473684,8.237499875,2348.55,8.237499875,1
"K1123","Overture - Global","43000000005421298","cheap fare to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.6875,29,26.6124999625,0.9176724125,559,5.18783542039356,2.33345259391771,6.89655172413793,13.30624998125,7418.8,26.6124999625,2
"K1122","Overture - US","43000000014278799","air france.com","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unassigned","Paused",0.3125,273,46.3499980125,0.1697802125,3171,8.60927152317881,1.00630715862504,3.66300366300366,4.63499980125,11271.85,46.3499980125,10
"K435","Google - US","43000000017532136","air france us","Broad","Air France Branded","Air France Website","uncategorized","Unassigned","Unassigned","Live",10,231,99.549998625,0.430952375,1277,18.0892717306186,1.02260767423649,8.65800865800866,4.97749993125,23076.65,99.549998625,20
